Model Details
Model: model1, Initial Guess: 1, Bounds: [0, 1000], RMSE: 0.899, BIC: -39.949
Model: model2, Initial Guess: 1,1, Bounds: [-1000,-1000, 1000,1000], RMSE: 0.126, BIC: -868.596
Model: model3, Initial Guess: 1,1,1, Bounds: [-1000,-1000,-1000, 1000,1000,1000], RMSE: 0.191, BIC: -686.089
Model: model4, Initial Guess: 1,1, Bounds: [-1000,-1000, 1000,1000], RMSE: 0.26, BIC: -561.071
Model: model5, Initial Guess: 1,1,1,1, Bounds: [-1000,-1000,-1000,-1000, 1000,1000,1000,10000], RMSE: 0.419, BIC: -347.906
Model: model6, Initial Guess: 1,1,1,1,1,1, Bounds: [-1000,-1000,-1000,-1000,-1000,-1000, 1000,1000,1000,10000,1000,10000], RMSE: 0.047, BIC: -1267.23

Predictions
Note2: test2note2

Note: test2

x,y_original,model1_ypred,model2_ypred,model3_ypred,model4_ypred,model5_ypred,model6_ypred
1.000686004,0.018611111,0.026601303742545025,-0.002724392450373314,0.00899023545130872,0.010166569846483975,0.014143446574526227,0.0023006890043612005
1.001286257,0.022361111,0.04987744478125883,-0.0047897577159119464,0.016860204856010464,0.0191333844465664,0.026582303053013595,0.004447902837666495
1.00188651,0.022361111,0.07315362166640729,-0.00655806695629102,0.024736597095344173,0.02816745548680755,0.03908127535493771,0.006721533611403707
1.002572514,0.032777778,0.09975505410863414,-0.008215480859787627,0.03374989579733779,0.03857561095655712,0.053440656443600715,0.00947633074916121
1.003172768,0.029861111,0.12303140265742686,-0.009347845846597203,0.04165012675207469,0.04775681864838062,0.06607167394164966,0.012024995907708558
1.003773021,0.035277778,0.14630780052289596,-0.01018371455948075,0.04956614862116529,0.057008085776248364,0.07876578999509214,0.014703995569142592
1.004459025,0.034444444,0.172909549330804,-0.010776167557126737,0.058636206568489974,0.06766795000827157,0.09335189489492818,0.017926987256618787
1.005059278,0.039444444,0.19618619162133757,-0.010977289895325537,0.06659610673722288,0.0770724658934249,0.10618453527092808,0.020889718164459836
1.005745282,0.040277778,0.22278826300935134,-0.010844782841677336,0.07572409808838115,0.08790990621439973,0.12093152040771388,0.02444052089679083
1.006259785,0.041944444,0.24273995124990846,-0.0104919008394746,0.08259429757504397,0.09610138256441202,0.13204937480191098,0.027220194338491766
1.006860038,0.038194444,0.26601706260671737,-0.009805742558854913,0.09063849135685785,0.10572765825702168,0.1450835341110852,0.03059075144021861
1.007631792,0.047361111,0.2959450628730752,-0.00848949436203661,0.1010314095244243,0.11821585277871025,0.16194351342525878,0.035128491798367634
1.008317796,0.044027778,0.3225480374169908,-0.0069098417560873315,0.11032181968844065,0.12942336926823403,0.17702788775179143,0.03935721866738895
1.008832299,0.051944444,0.3425004629504997,-0.005472245049324531,0.11732466323318505,0.13789594709849604,0.18840247568692672,0.042650735872809875
1.009432552,0.051111111,0.36577849924691536,-0.0035212838356297738,0.12553532250481966,0.14785404980016356,0.20174018246568778,0.04662673948915419
1.009947055,0.054444444,0.3857313236804715,-0.0016144980752752502,0.13261001778693926,0.15645323777536518,0.21323099454518313,0.050150365634872074
1.010547309,0.058194444,0.4090098920016387,0.0008835547015069167,0.1409095699513776,0.16656079709701,0.22670609808656314,0.05439756928507222
1.011233312,0.056527778,0.43561426348067084,0.0040988690127115035,0.150458638477199,0.1782126290587996,0.24219863671720593,0.05943323513900367
1.011747815,0.066111111,0.45556783298258235,0.00676249282218766,0.15766767354344038,0.18702264772897634,0.2538836753086872,0.06333861743013003
1.012348069,0.062777778,0.478847315297196,0.01014304284558687,0.16613208612018399,0.19737903176992205,0.2675882977532472,0.06803580752259109
1.013119823,0.069444444,0.508778530913736,0.014921170777033588,0.17710460100024356,0.21081943194724118,0.28532417532392335,0.07430064893158317
1.013720076,0.067777778,0.5320587674584241,0.018973053574671717,0.18571219167676295,0.2213716709637256,0.2992100533017919,0.0793509505093617
1.01449183,0.074861111,0.5619910561405966,0.024613755615292554,0.19687855774663074,0.23506747006471168,0.3171826126406671,0.08607569921497671
1.015092084,0.081944444,0.585272207563704,0.029336091221514593,0.2056445043803776,0.24582117058186695,0.33125542817471093,0.09148838155042327
1.015520836,0.079861111,0.601901817864225,0.032888603456803445,0.2119510350768751,0.25355735544754676,0.3413585199670829,0.09545336445719954
1.015949589,0.091111111,0.618531681531292,0.03659057263631649,0.21829639982285323,0.26133983304055375,0.3515046742937403,0.09950144757180368
1.016378341,0.096111111,0.6351617267342698,0.04044191973458933,0.22468161945843187,0.2691689699558301,0.3616942473395315,0.10363329634596141
1.016978594,0.112777778,0.6584441788309285,0.046084659351355306,0.23368990855985672,0.280208956181374,0.37603340993551626,0.10955994661600243
1.017664598,0.116111111,0.6850532803457889,0.052891673499714464,0.24408699837729275,0.2929405335335393,0.392527709390441,0.11653845375878902
1.018436352,0.119027778,0.7149892454934853,0.0610059172144064,0.2559187525089655,0.3074114827772231,0.41122180288641713,0.12465436574991529
1.019122356,0.134027778,0.7415996978509852,0.06862395714544256,0.26656063934399726,0.32040794783341314,0.42796334726312607,0.13210743277682724
1.019722609,0.134027778,0.7648843747599626,0.07560250390081613,0.27597211061553956,0.3318842494198353,0.4427097583897865,0.1388157865548365
1.020322863,0.151111111,0.7881696205251777,0.08287280410177544,0.28547976155892035,0.34345924067611133,0.45754847122624415,0.14570075745736233
1.020923116,0.142361111,0.8114553730562453,0.09043466689517388,0.29508641080770937,0.3551340652180183,0.4724805994407661,0.15276439476071602
1.02160912,0.140694444,0.8380683716891,0.09943362017811097,0.30619033987551586,0.3686005327928499,0.48966182239411027,0.16105861292268742
1.022209373,0.135694444,0.8613553452782663,0.10761972638840156,0.3160187390558278,0.3804933599006355,0.5047981338542303,0.16851223326612796
1.022809627,0.129861111,0.8846429516815167,0.1160969002784924,0.32595509740978856,0.39248984815612115,0.520031619628024,0.17615123031323066
1.023238379,0.146527778,0.9012772951866496,0.12233011695406049,0.33312013792275785,0.401122885360172,0.530972800978513,0.18172234165300694
