FileName,TissueCategory,Numberofdatapoints,RMSE,?,?_1,?_1,?_2,?_2,?_3,?_3,PublicationLink,ExperimentalDetails,InitialGuesses,Optimization,Bounds

Sample3_0.5_radial.csv,Cardiac,105,0.0128,0,0.6366,1.73,0.6366,1.73,-3.3911,0.6495,This is atestuplaod isotropic!,This is atestuplaod isotropic!,"[1, 1, 1, 1, 1, 1]"
Sample2_0.5_radial.csv,Cardiac,105,0.0063,0.0211,0.1762,3.037,0.1762,3.037,-0.8379,1.2269,This is atestuplaod isotropic!,This is atestuplaod isotropic!,"[1, 1, 1, 1, 1, 1]"
Sample1_0.5_radial.csv,Cardiac,106,0.0559,0.0785,-1.3714,0.6562,-1.3714,0.6562,1.0042,1.9487,This is atestuplaod isotropic!,This is atestuplaod isotropic!,"[1, 1, 1, 1, 1, 1]"
Sample3_0.5_circumferential.csv,Cardiac,90,0.211,0.0726,3.747,4.1955,3.747,4.1955,-26.4065,1.1852,This is atestuplaod isotropic!,This is atestuplaod isotropic!,"[1, 1, 1, 1, 1, 1]"
Sample2_0.5_circumferential.csv,Cardiac,84,0.1151,0.7877,1.4474,5.9155,1.4474,5.9155,-6.5993,2.3562,This is atestuplaod isotropic!,This is atestuplaod isotropic!,"[1, 1, 1, 1, 1, 1]"
Sample1_0.5_circumferential.csv,Cardiac,99,0.2514,0.174,-7.766,1.4879,-7.766,1.4879,4.6805,5.0118,This is atestuplaod isotropic!,This is atestuplaod isotropic!,"[1, 1, 1, 1, 1, 1]"
Sample3_0.2_radial.csv,Cardiac,87,0.0204,0.0393,0.1149,3.4355,0.1149,3.4355,-3.8454,0.1849,This is atestuplaod isotropic!,This is atestuplaod isotropic!,"[1, 1, 1, 1, 1, 1]"
Sample2_0.2_radial.csv,Cardiac,85,0.2379,0.3397,-1.7797,-0.0931,-1.7797,-0.0931,-3.6127,-0.0963,This is atestuplaod isotropic!,This is atestuplaod isotropic!,"[1, 1, 1, 1, 1, 1]"
Sample1_0.2_radial.csv,Cardiac,85,0.0444,0.0852,-0.9836,0.7836,-0.9836,0.7836,0.6574,2.6039,This is atestuplaod isotropic!,This is atestuplaod isotropic!,"[1, 1, 1, 1, 1, 1]"
Sample3_0.2_circumferential.csv,Cardiac,56,0.1753,0,6.7125,-0.9227,6.7125,-0.9227,2.7086,4.5735,This is atestuplaod isotropic!,This is atestuplaod isotropic!,"[1, 1, 1, 1, 1, 1]"
Sample2_0.2_circumferential.csv,Cardiac,50,0.1616,0.4488,-5.088,1.6301,-5.088,1.6301,3.3852,5.1653,This is atestuplaod isotropic!,This is atestuplaod isotropic!,"[1, 1, 1, 1, 1, 1]"
